MARCA,DISCO,RAM,PULGADAS,PRECIO,MODELO,PROCESADOR,LINK
microsoft,128,8,10.5,499.99,surface go,intel pentium,https://www.bestbuy.com/site/microsoft-surface-go-3-10-5-touch-screen-intel-pentium-gold-8gb-memory-128gb-ssd-device-only-latest-model-platinum/6478762.p?skuId=6478762
microsoft,128,8,10.5,579.99,surface go,intel core i3,https://www.bestbuy.com/site/microsoft-surface-go-3-10-5-touch-screen-intel-core-i3-8gb-memory-128gb-ssd-device-only-latest-model-platinum/6478761.p?skuId=6478761
razer,1024,16,14,2210.99,blade 14,amd ryzen 9,https://www.bestbuy.com/site/razer-blade-14-14-gaming-laptop-qhd-165hz-amd-ryzen-9-6900hx-nvidia-geforce-rtx-3070-ti-16gb-ram-1tb-ssd-black/6499098.p?skuId=6499098
samsung,64,4,13.3,449.00,galaxy chromebook,intel celeron,https://www.bestbuy.com/site/samsung-galaxy-chromebook-2-13-3-qled-touch-screen-intel-celeron-4gb-memory-64gb-emmc-mercury-gray/6450561.p?skuId=6450561
apple,1024,32,16,3299.00,m1,apple m1,https://www.bestbuy.com/site/macbook-pro-16-laptop-apple-m1-max-chip-32gb-memory-1tb-ssd-space-gray/6450860.p?skuId=6450860
hp,256,4,15.6,436.99,15.6,intel pentium,https://www.bestbuy.com/site/hp-15-6-touch-screen-laptop-intel-pentium-gold-7505-4gb-memory-256gb-ssd-spruce-blue/6507409.p?skuId=6507409
microsoft,512,16,14.4,1599.99,surface laptop studio,intel core i5,https://www.bestbuy.com/site/microsoft-surface-laptop-studio-14-4-touch-screen-intel-core-i5-16gb-memory-512gb-ssd-platinum/6478304.p?skuId=6478304
acer,256,8,14,499.99,chromebook green,intel core i5 1235u,https://www.bestbuy.com/site/acer-vero-514-chromebook-green-pc-laptop-14-fhd-ips-intel-core-i51235u-8gb-lpddrx-memory-256gb-ssd/6523811.p?skuId=6523811
samsung,1024,16,15.6,1149.99,galaxy book2,intel core i7,https://www.bestbuy.com/site/samsung-galaxy-book2-pro-360-2-in-1-15-6-amoled-touch-screen-laptop-intel-12th-gen-evo-core-i7-16gb-ddr5-memory-1tb-ssd-burgundy/6501592.p?skuId=6501592
samsung,512,16,13.3,749.99,galaxy book,intel core i7,https://www.bestbuy.com/site/samsung-geek-squad-certi-refurbis-galaxy-book-flex2-alpha-13-3-qled-touch-scrn-laptop-intel-core-i7-16gb-memory-512gb-ssd-mystic-black/6508352.p?skuId=6508352
lg,2048,32,17,1799.99,gram,intel core i7,https://www.bestbuy.com/site/lg-gram-17-ultra-lightweight-laptop-intel-evo-platform-12th-gen-intel-core-i7-32gb-ram-2tb-nvme-ssd/6504765.p?skuId=6504765
lg,2048,16,16,1499.99,gram,intel core i7,https://www.bestbuy.com/site/lg-gram-2-in-1-16-wqxga-laptop-intel-evo-platform-core-i7-16gb-ram-2tb-nvme-solid-state-drive/6504757.p?skuId=6504757
razer,1024,16,15.6,2599.99,blade 15,intel core i7,https://www.bestbuy.com/site/razer-blade-15-15-6-gaming-laptop-qhd-240hz-intel-core-i7-nvidia-geforce-rtx-3070-ti-16gb-ram-1tb-ssd-black/6499095.p?skuId=6499095
razer,1024,32,15.6,3263.99,blade 15,intel core i7,https://www.bestbuy.com/site/razer-blade-15-15-6-gaming-laptop-qhd-240hz-intel-core-i7-nvidia-geforce-rtx-3080-ti-32gb-ram-1tb-ssd-black/6499097.p?skuId=6499097
microsoft,512,8,15,799.99,surface laptop 4,amd ryzen 7,https://www.bestbuy.com/site/microsoft-geek-squad-certified-refurbished-surface-laptop-4-15-touch-screen-laptop-amd-ryzen-7-8gb-memory-512gb-ssd-matte-black/6463621.p?skuId=6463621
asus,0,16,15.6,1199.99,zenbook,amd ryzen 9,https://www.bestbuy.com/site/asus-zenbook-pro-15-6-touch-screen-laptop-amd-ryzen-9-16-gb-memory-nvidia-geforce-rtx-3050-ti-pine-gray/6494580.p?skuId=6494580
microsoft,256,8,15,624.99,surface laptop 4,amd ryzen 7,https://www.bestbuy.com/site/microsoft-geek-squad-certified-refurbished-surface-laptop-4-15-touch-screen-laptop-amd-ryzen-7-8gb-memory-256gb-ssd-platinum/6463623.p?skuId=6463623
asus,1024,32,14,1899.99,zenbook,intel core i9,https://www.bestbuy.com/site/asus-zenbook-14x-oled-ux5400-14-laptop-intel-core-i9-32-gb-memory-1-tb-ssd-zero-g-titanium/6511431.p?skuId=6511431
microsoft,128,8,10.5,579.99,surface go,intel core i3,https://www.bestbuy.com/site/microsoft-surface-go-3-10-5-touch-screen-intel-core-i3-8gb-memory-128gb-ssd-device-only-latest-model-matte-black/6490631.p?skuId=6490631
microsoft,128,8,10.5,679.99,surface go,intel core i3,https://www.bestbuy.com/site/microsoft-surface-go-3-10-5-touch-screen-intel-core-i3-8gb-memory-128gb-ssd-wifi-lte-device-only-latest-model-matte-black/6490639.p?skuId=6490639
msi,512,16,14,1099.99,prestige,intel core i7,https://www.bestbuy.com/site/msi-prestige-14-14-laptop-intel-core-i7-16-gb-memory-nvidia-geforce-gtx-1650-512-gb-ssd-carbon-gray/6501331.p?skuId=6501331
razer,1024,32,17.3,3699.99,blade 17,intel core i7,https://www.bestbuy.com/site/razer-blade-17-17-3-gaming-laptop-qhd-240hz-intel-core-i7-nvidia-geforce-rtx-3080-ti-32gb-ram-1tb-ssd-black/6504374.p?skuId=6504374
microsoft,256,8,13.5,729.99,surface laptop 3,intel core i5,https://www.bestbuy.com/site/microsoft-geek-squad-certified-refurbished-surface-laptop-3-2-in-1-13-5-touch-screen-intel-core-i5-8gb-memory-256gb-ssd-platinum/6463535.p?skuId=6463535
msi,1024,32,17.3,3499.99,raider,intel core i9,https://www.bestbuy.com/site/msi-raider-ge77-hx-17-3-gaming-laptop-intel-core-i9-32gb-memory-1-tb-ssd-dark-gray/6516320.p?skuId=6516320
razer,1024,16,15.6,2199.99,blade 15,intel core i7,https://www.bestbuy.com/site/razer-blade-15-15-6-gaming-laptop-qhd-240hz-intel-core-i7-nvidia-geforce-rtx-3060-16gb-ram-1tb-ssd-black/6504371.p?skuId=6504371
lg,1024,16,14,1572.99,gram,intel core i7,https://www.bestbuy.com/site/lg-gram-2-in-1-14-wuxga-laptop-intel-evo-platform-core-i7-16gb-ram-1tb-nvme-solid-state-drive/6504761.p?skuId=6504761
lg,2048,16,16,1499.99,gram,intel core i7,https://www.bestbuy.com/site/lg-gram-2-in-1-16-wqxga-laptop-intel-evo-platform-core-i7-16gb-ram-2tb-nvme-solid-state-drive/6504756.p?skuId=6504756
msi,1024,16,15.6,1699.99,pulse,intel core i9,https://www.bestbuy.com/site/msi-pulse-gl66-15-6-qhd-gaming-laptop-intel-core-i9-16gb-memory-1tb-ssd-black/6519675.p?skuId=6519675
asus,32,4,14,219.99,chromebook ,intel celeron,https://www.bestbuy.com/site/asus-14-chromebook-intel-celeron-4gb-memory-32gb-emmc-flash-memory-silver/6466914.p?skuId=6466914
msi,512,16,14,1199.99,summit,intel core i7,https://www.bestbuy.com/site/msi-summit-e14-evo-14-laptop-intel-core-i7-16-gb-memory-512-gb-ssd-ink-black/6502630.p?skuId=6502630
msi,1024,16,16,2599.99,creator,intel core i7,https://www.bestbuy.com/site/msi-creator-z16p-b12u-16-touch-screen-laptop-intel-core-i7-16-gb-memory-nvidia-geforce-rtx-3070-ti-1-tb-ssd-lunar-gray/6501172.p?skuId=6501172
asus,32,4,15.6,209.99,chromebook ,intel celeron,https://www.bestbuy.com/site/asus-15-6-chromebook-intel-celeron-4gb-memory-32gb-emmc-flash-memory-silver/6304189.p?skuId=6304189
microsoft,512,8,13.5,649.99,surface laptop 4,intel core i5,https://www.bestbuy.com/site/microsoft-geek-squad-certified-refurbished-surface-laptop-4-13-5-touch-screen-laptop-intel-core-i5-8gb-memory-512gb-ssd-ice-blue/6463632.p?skuId=6463632
msi,1024,32,17.3,2499.99,17.3,intel core i7,https://www.bestbuy.com/site/msi-17-3-gaming-laptop-intel-core-i7-32-gb-memory-nvidia-rtx-a3000-1-tb-ssd-titanium-blue/6469409.p?skuId=6469409
razer,1024,16,15.6,2399.99,blade 15,intel core i7,https://www.bestbuy.com/site/razer-blade-15-15-6-gaming-laptop-fhd-360hz-intel-core-i7-nvidia-geforce-rtx-3070-ti-16gb-ram-1tb-ssd-black/6504365.p?skuId=6504365
msi,1024,32,15.6,2299.99,ge66,intel core i7,https://www.bestbuy.com/site/msi-ge66-raider-15-6-gaming-laptop-intel-core-i7-32-gb-memory-nvidia-geforce-rtx-3070-ti-1-tb-ssd-titanium-blue/6501180.p?skuId=6501180
msi,512,16,15.6,1499.99,pulse,intel core i7,https://www.bestbuy.com/site/msi-pulse-gl66-15-6-gaming-laptop-intel-core-i7-16-gb-memory-nvidia-geforce-rtx-3060-512-gb-ssd-black/6501186.p?skuId=6501186
asus,1024,16,14,1549.99,expertbook,intel core i7,https://www.bestbuy.com/site/asus-expertbook-b9-14-laptop-intel-evo-platform-core-i7-16gb-memory-1tb-ssd-star-black/6436226.p?skuId=6436226
msi,1024,32,17.3,2882.99,vector,intel core black,https://www.bestbuy.com/site/msi-vector-gp76-17-3-gaming-laptop-intel-core-i9-32-gb-memory-nvidia-geforce-rtx-3080-1-tb-ssd-core-black/6502647.p?skuId=6502647
msi,1024,32,17.3,3899.99,stealth,intel core black,https://www.bestbuy.com/site/msi-stealth-gs77-17-3-gaming-laptop-intel-core-i9-32-gb-memory-nvidia-geforce-rtx-3080-ti-1-tb-ssd-core-black/6501187.p?skuId=6501187
samsung,64,4,13.3,449.00,galaxy chromebook,intel celeron,https://www.bestbuy.com/site/samsung-galaxy-chromebook-2-13-3-qled-touch-screen-intel-celeron-4gb-memory-64gb-emmc-fiesta-red/6450560.p?skuId=6450560
razer,1024,16,14,2399.99,blade 14,amd ryzen 9,https://www.bestbuy.com/site/razer-blade-14-14-gaming-laptop-qhd-165hz-amd-ryzen-9-5900hx-nvidia-geforce-rtx-3080-16gb-ram-1tb-ssd-black/6469121.p?skuId=6469121
microsoft,2048,32,14.4,2799.99,surface laptop studio,intel core i7,https://www.bestbuy.com/site/microsoft-surface-laptop-studio-14-4-touch-screen-intel-core-i7-32gb-memory-nvidia-geforce-rtx-3050-ti-2tb-ssd-platinum/6478306.p?skuId=6478306
lenovo,512,8,13.3,649.99,yoga,amd ryzen 5,https://www.bestbuy.com/site/lenovo-yoga-6-13-3-touchscreen-wuxga-notebook-amd-ryzen-5-8gb-memory-512gb-ssd-dark-teal/6523148.p?skuId=6523148
lg,1024,32,15,1499.99,gram,intel core i7,https://www.bestbuy.com/site/lg-gram-15-touchscreen-ultra-lightweight-laptop-intel-platform-12th-gen-intel-core-i7-32gb-ram-1tb-nvme-ssd/6504763.p?skuId=6504763
hp,512,8,15.6,685.99,pavilion,amd ryzen 5,https://www.bestbuy.com/site/hp-pavilion-15-6-touch-screen-laptop-amd-ryzen-5-5500u-8gb-memory-512gb-ssd/6462050.p?skuId=6462050
asus,1024,32,15.6,2626.99,zenbook,intel core i9,https://www.bestbuy.com/site/asus-zenbook-pro-duo-15-ux582-15-6-touch-screen-laptop-intel-core-i9-32-gb-memory-nvidia-geforce-rtx-3060-1-tb-ssd-celestial-blue/6492151.p?skuId=6492151
microsoft,512,8,13.5,720.99,surface laptop 4,intel core i5,https://www.bestbuy.com/site/microsoft-geek-squad-certified-refurbished-surface-laptop-4-13-5-touch-screen-intel-core-i5-8gb-memory-512gb-ssd-sandstone/6463620.p?skuId=6463620
hp,256,8,14,689.99,pavilion,intel core i5,https://www.bestbuy.com/site/hp-pavilion-x360-2-in-1-14-touch-screen-laptop--intel-core-i5-1235u-8gb-memory-256gb-ssd-natural-silver/6505064.p?skuId=6505064
microsoft,256,8,13.5,649.99,surface laptop 4,amd ryzen 5,https://www.bestbuy.com/site/microsoft-geek-squad-certified-refurbished-surface-laptop-4-13-5-touch-screen-amd-ryzen-5-8gb-memory-256gb-ssd-platinum/6463619.p?skuId=6463619
razer,1024,16,15.6,2899.99,blade 15,intel core i9,https://www.bestbuy.com/site/razer-blade-15-15-6-gaming-laptop-oled-qhd-240hz-intel-core-i9-nvidia-geforce-rtx-3070-ti-16gb-ram-1tb-ssd-black/6520867.p?skuId=6520867
msi,1024,32,16,3699.99,creator,intel core i7,https://www.bestbuy.com/site/msi-creator-z16p-16-touch-screen-laptop-intel-core-i7-32-gb-memory-nvidia-geforce-rtx-3080-ti-1-tb-ssd-lunar-gray/6501196.p?skuId=6501196
msi,1024,16,15.6,2133.99,raider,intel core i7,https://www.bestbuy.com/site/msi-raider-15-6-oled-qhd-gaming-laptop-intel-core-i7-16gb-memory-1tb-ssd-dark-grey/6522204.p?skuId=6522204
apple,512,16,13,1016.99,pre,intel core i5,https://www.bestbuy.com/site/apple-pre-owned-macbook-pro-13-laptop-intel-core-i5-2-0ghz-touch-bar-id-16gb-memory-512gb-ssd-2020-space-gray/6475715.p?skuId=6475715
samsung,128,8,13.3,494.99,galaxy chromebook,intel core i3,https://www.bestbuy.com/site/samsung-geek-squad-certified-refurbished-galaxy-chromebook-2-13-3-qled-touch-screen-intel-core-i3-8gb-memory-128gb-emmc-fiesta-red/6470917.p?skuId=6470917
msi,512,16,16,1499.99,summit,intel core i7,https://www.bestbuy.com/site/msi-summit-e16-flip-a12u-16-touch-screen-2-in-1-laptop-intel-core-i7-16-gb-memory-nvidia-geforce-rtx-3050-512-gb-ink-black/6501189.p?skuId=6501189
hp,512,8,14,749.99,pavilion,intel core i5,https://www.bestbuy.com/site/hp-pavilion-14-laptop-intel-core-i5-1240p-8gb-memory-512gb-ssd-natural-silver/6507410.p?skuId=6507410
microsoft,128,8,10.5,679.99,surface go,intel core i3,https://www.bestbuy.com/site/microsoft-surface-go-3-10-5-touch-screen-intel-core-i3-8gb-memory-128gb-ssd-wifi-lte-device-only-latest-model-platinum/6487608.p?skuId=6487608
razer,1024,16,17.3,2699.99,blade 17,intel core i7,https://www.bestbuy.com/site/razer-blade-17-17-3-gaming-laptop-fhd-360hz-intel-core-i7-nvidia-geforce-rtx-3070-ti-16gb-ram-1tb-ssd-black/6504377.p?skuId=6504377
msi,512,16,16,1249.99,summit,intel core i7,https://www.bestbuy.com/site/msi-summit-e16-flip-evo-a12u-16-laptop-intel-core-i7-16-gb-memory-512-gb-ssd-ink-black/6501206.p?skuId=6501206
razer,1024,32,15.6,3099.99,blade 15,intel core i7,https://www.bestbuy.com/site/razer-blade-15-15-6-gaming-laptop-fhd-360hz-intel-core-i7-nvidia-geforce-rtx-3080-ti-32gb-ram-1tb-ssd-black/6504372.p?skuId=6504372
razer,1024,16,14,2099.99,blade 14,amd ryzen 9,https://www.bestbuy.com/site/razer-blade-14-14-gaming-laptop-qhd-165hz-amd-ryzen-9-6900hx-nvidia-geforce-rtx-3070-ti-16gb-ram-1tb-ssd-mercury/6527461.p?skuId=6527461
razer,1024,16,14,1899.99,blade 14,amd ryzen 9,https://www.bestbuy.com/site/razer-blade-14-14-gaming-laptop-fhd-144hz-amd-ryzen-9-6900hx-nvidia-geforce-rtx-3060-16gb-ram-1tb-ssd-black/6527460.p?skuId=6527460
hp,0,8,15.6,979.99,victus,intel core i5,https://www.bestbuy.com/site/hp-victus-15-6-gaming-laptop--intel-core-i5-12500h-8gb-memory--nvidia-geforce-rtx-3050-ti--512gb-ssd-mica-silver/6511228.p?skuId=6511228
razer,1024,32,17.3,3499.99,blade 17,intel core i9,https://www.bestbuy.com/site/razer-blade-17-17-3-gaming-laptop-uhd-144hz-intel-core-i9-nvidia-geforce-rtx-3070-ti-32gb-ram-1tb-ssd-black/6511855.p?skuId=6511855
asus,2048,32,14,1849.99,expertbook,intel core i7,https://www.bestbuy.com/site/asus-expertbook-b9-14-laptop-intel-evo-platform-core-i7-32gb-memory-2tb-ssd-star-black/6436228.p?skuId=6436228
msi,1024,32,15.6,3799.99,ge66,intel core i9,https://www.bestbuy.com/site/msi-ge66-raider-15-6-gaming-laptop-intel-core-i9-32-gb-memory-nvidia-geforce-rtx-3080-ti-1-tb-ssd-titanium-blue/6502637.p?skuId=6502637
msi,1024,32,16,3049.99,creator,intel core i7,https://www.bestbuy.com/site/msi-creator-z16p-b12u-16-touch-screen-laptop-intel-core-i7-32-gb-memory-nvidia-geforce-rtx-3080-1-tb-ssd-lunar-gray/6501179.p?skuId=6501179
msi,1024,32,17.3,2299.99,ws76,intel core i7,https://www.bestbuy.com/site/msi-ws76-17-3-laptop-intel-core-i7-32gb-memory-nvidia-quadro-rtx-a3000-1-tb-ssd-black/6498810.p?skuId=6498810
msi,512,16,16,1099.99,creator,intel core i7,https://www.bestbuy.com/site/msi-creator-m16-16-laptop-intel-core-i7-16-gb-memory-nvidia-geforce-rtx-3050-512-gb-ssd-black/6491549.p?skuId=6491549
msi,512,16,17.3,1299.99,wf76,intel core i7,https://www.bestbuy.com/site/msi-wf76-17-3-laptop-intel-core-i7-16-gb-memory-nvidia-quadro-t1200-512gb-ssd-black/6492144.p?skuId=6492144
razer,1024,16,17.3,3099.99,blade 17,intel core i9,https://www.bestbuy.com/site/razer-blade-17-17-3-gaming-laptop-qhd-240hz-intel-core-i9-nvidia-geforce-rtx-3070-ti-16gb-ram-1tb-ssd-black/6511851.p?skuId=6511851
hp omen,512,16,16.1,1719.99,16.1,intel core i7,https://www.bestbuy.com/site/hp-omen-16-1-laptop-intel-core-i7-12700h-16gb-memory-nvidia-geforce-rtx-3070-512gb-ssd-shadow-black/6527265.p?skuId=6527265
msi,1024,16,15.6,1499.99,delta,amd ryzen 7,https://www.bestbuy.com/site/msi-delta-15-6-gaming-laptop-amd-ryzen-7-16gb-memory-1tb-ssd-carbon-gray/6522216.p?skuId=6522216
