MARCA,DISCO,RAM,PULGADAS,PRECIO,MODELO,PROCESADOR,LINK
acer,128,8,14,429.00,chromebook spin,amd ryzen 5,https://www.bestbuy.com/site/acer-chromebook-spin-514-convertible-14-full-hd-touch-amd-ryzen-5-3500c-8gb-ddr4-128gb-emmc-hdmi-mist-green/6454181.p?skuId=6454181
hp,256,4,15.6,438.99,15.6,intel pentium,https://www.bestbuy.com/site/hp-15-6-laptop-intel-pentium-gold-7505-4gb-memory-256gb-ssd-pale-gold/6503897.p?skuId=6503897
msi,512,8,15.6,749.99,thin,intel core i5,https://www.bestbuy.com/site/msi-thin-gf63-12001-15-6-notebook-intel-core-i5-12450h-8gb-memory-512gb-ssd-black/6514472.p?skuId=6514472
asus,1024,32,13.3,1527.99,expertbook,intel core i7,https://www.bestbuy.com/site/asus-expertbook-b5-flip-b5302-13-3-laptop-intel-core-i7-32-gb-memory-1-tb-ssd-star-black/6492538.p?skuId=6492538
razer,1024,32,17.3,3499.99,blade 17,intel core i7,https://www.bestbuy.com/site/razer-blade-17-17-3-gaming-laptop-fhd-360hz-intel-core-i7-nvidia-geforce-rtx-3080-ti-32gb-ram-1tb-ssd-black/6504370.p?skuId=6504370
msi,1024,16,17.3,1599.99,vector,intel core black,https://www.bestbuy.com/site/msi-vector-gp76-17-3-gaming-laptop-intel-core-i7-16-gb-memory-nvidia-geforce-rtx-3060-1-tb-ssd-core-black/6501192.p?skuId=6501192
asus,512,16,15.6,1014.99,vivobook,amd ryzen 7,https://www.bestbuy.com/site/asus-vivobook-pro-15-oled-m3500-15-6-laptop-amd-ryzen-7-16-gb-memory-512-gb-ssd-quiet-blue/6503034.p?skuId=6503034
gigabyte,1024,16,15.6,1299.99,aorus,intel core i7,https://www.bestbuy.com/site/gigabyte-aorus-15-6-ips-240hz-gaming-laptop-intel-core-i7-11800h-16gb-memory-nvidia-geforce-rtx-3070-1tb-ssd/6498270.p?skuId=6498270
razer,1024,16,13.4,1619.99,book,intel core i7,https://www.bestbuy.com/site/razer-book-13-4-uhd-touch-screen-laptop-intel-evo-platform-intel-core-i7-16gb-memory-1tb-ssd-mercury/6485751.p?skuId=6485751
asus,256,16,15.6,880.99,expertbook,intel core i5,https://www.bestbuy.com/site/asus-expertbook-b1-15-6-laptop-intel-core-i5-16-gb-memory-256-gb-ssd-star-black/6494579.p?skuId=6494579
asus,512,16,15.6,1683.99,strix,intel core i9,https://www.bestbuy.com/site/asus-strix-scar-15-g533-15-6-gaming-laptop-intel-core-i9-16-gb-memory-nvidia-geforce-rtx-3060-512-gb-ssd-off-black/6507939.p?skuId=6507939
razer,512,16,13.4,1459.99,book,intel core i7,https://www.bestbuy.com/site/razer-book-13-4-uhd-touch-screen-laptop-intel-evo-platform-intel-core-i7-16gb-memory-512gb-ssd-mercury/6442337.p?skuId=6442337
msi,512,16,15.6,1299.99,prestige,intel core i7,https://www.bestbuy.com/site/msi-prestige-15-15-6-laptop-intel-core-i7-16-gb-memory-nvidia-geforce-rtx-3050-ti-512-gb-ssd-carbon-gray/6501328.p?skuId=6501328
msi,1024,32,17.3,3399.99,stealth,intel core black,https://www.bestbuy.com/site/msi-stealth-gs77-17-3-gaming-laptop-intel-core-i7-32-gb-memory-nvidia-geforce-rtx-3080-ti-1-tb-ssd-core-black/6502639.p?skuId=6502639
msi,1024,32,17.3,2299.99,vector,intel core black,https://www.bestbuy.com/site/msi-vector-gp76-17-3-gaming-laptop-intel-core-i7-32-gb-memory-nvidia-geforce-rtx-3070-ti-1-tb-ssd-core-black/6502653.p?skuId=6502653
asus,256,8,14,842.99,expertbook,intel core i5,https://www.bestbuy.com/site/asus-expertbook-b1-b1400-14-laptop-intel-core-i5-8-gb-memory-256-gb-ssd-star-black/6480124.p?skuId=6480124
microsoft,256,8,15,1147.99,surface 3,amd ryzen 5,https://www.bestbuy.com/site/microsoft-geek-squad-certified-refurbished-surface-3-15-touch-screen-laptop-amd-ryzen-5-8gb-memory-256gb-ssd-matte-black/6463415.p?skuId=6463415
asus,512,16,16,1136.99,vivobook,intel core i7,https://www.bestbuy.com/site/asus-vivobook-16-oled-laptop-intel-core-i7-12700h-16gb-memory-512gb-ssd-quiet-blue/6521257.p?skuId=6521257
msi,512,16,14,1199.99,prestige,intel core i7,https://www.bestbuy.com/site/msi-prestige-14-14-laptop-intel-core-i7-16-gb-memory-nvidia-geforce-rtx-3050-512-gb-ssd-carbon-gray/6501335.p?skuId=6501335
msi,1024,32,17,2989.99,creator,intel core i7,https://www.bestbuy.com/site/msi-creator-z17-a12u-17-touch-screen-laptop-intel-core-i7-32-gb-memory-nvidia-geforce-rtx-3070-ti-1-tb-ssd-lunar-gray/6501177.p?skuId=6501177
msi,1024,16,17.3,1799.99,wf76,intel core i7,https://www.bestbuy.com/site/msi-wf76-17-3-laptop-intel-core-i7-16gb-memory-nvidia-quadro-a2000-1-tb-ssd-black/6491543.p?skuId=6491543
msi,512,16,17.3,1499.99,pulse,intel core i7,https://www.bestbuy.com/site/msi-pulse-gl76-17-3-gaming-laptop-intel-core-i7-16-gb-memory-nvidia-geforce-rtx-3060-512-gb-ssd-black/6501213.p?skuId=6501213
msi,512,16,15.6,1099.99,prestige,intel core i5,https://www.bestbuy.com/site/msi-prestige-15-15-6-laptop-intel-core-i5-16-gb-memory-nvidia-geforce-gtx-1650-512-gb-ssd-carbon-gray/6501326.p?skuId=6501326
msi,1024,16,15.6,1699.99,wf66,intel core i7,https://www.bestbuy.com/site/msi-wf66-15-6-laptop-intel-core-i7-16gb-memory-nvidia-quadro-a2000-1tb-ssd-black/6469407.p?skuId=6469407
razer,1024,16,17.3,2899.99,blade 17,intel core i7,https://www.bestbuy.com/site/razer-blade-17-17-3-gaming-laptop-qhd-240hz-intel-core-i7-nvidia-geforce-rtx-3070-ti-16gb-ram-1tb-ssd-black/6504375.p?skuId=6504375
samsung,512,16,13.3,1099.99,galaxy book2,intel core i7,https://www.bestbuy.com/site/samsung-galaxy-book2-pro-360-2-in-1-13-3-amoled-touch-screen-laptop-intel-12th-gen-evo-core-i7-16gb-ddr5-memory-512gb-ssd-burgundy/6501578.p?skuId=6501578
msi,1024,16,14,1499.99,14,intel core i7,https://www.bestbuy.com/site/msi-14-laptop-intel-core-i7-16-gb-memory-1-tb-ssd-ink-black/6502646.p?skuId=6502646
dell,256,16,13.3,863.99,geek,intel core i7,https://www.bestbuy.com/site/dell-geek-squad-certified-refurbished-inspiron-13-3-4k-ultra-hd-touch-screen-laptop-intel-core-i7-16gb-memory-256gb-ssd-black/6410975.p?skuId=6410975
msi,512,16,15.6,1149.99,prestige,intel core i5,https://www.bestbuy.com/site/msi-prestige-15-15-6-laptop-intel-core-i5-16-gb-memory-nvidia-geforce-gtx-1650-max-q-512-gb-ssd-carbon-gray/6491548.p?skuId=6491548
msi,512,16,16,1449.99,summit,intel core i7,https://www.bestbuy.com/site/msi-summit-e16-flip-16-laptop-intel-core-i7-16-gb-memory-512-gb-ssd-ink-black/6474948.p?skuId=6474948
msi,512,16,13.4,1349.99,summit,intel core i7,https://www.bestbuy.com/site/msi-summit-e13-flip-evo-13-4-laptop-intel-core-i7-16-gb-memory-512-gb-ssd-ink-black/6501327.p?skuId=6501327
msi,1024,16,17.3,1692.99,katana,intel core i7,https://www.bestbuy.com/site/msi-katana-gf76-17-3-gaming-laptop-intel-core-i7-16-gb-memory-1-tb-ssd-black/6516328.p?skuId=6516328
msi,512,16,17.3,1699.99,pulse,intel core i7,https://www.bestbuy.com/site/msi-pulse-gl76-17-3-gaming-laptop-intel-core-i7-16-gb-memory-nvidia-geforce-rtx-3070-512-gb-ssd-black/6502640.p?skuId=6502640
msi,1024,16,16,2529.99,creator,intel core i9,https://www.bestbuy.com/site/msi-creator-z16-16-touch-screen-laptop-intel-core-i9-16-gb-memory-nvidia-geforce-rtx-3060-1-tb-ssd-lunar-gray/6501199.p?skuId=6501199
msi,512,16,13.4,1099.99,summit,intel core i5,https://www.bestbuy.com/site/msi-summit-e13-flip-evo-13-4-laptop-intel-core-i5-16-gb-memory-512-gb-ssd-pure-white/6491539.p?skuId=6491539
msi,1024,16,15.6,2499.99,creator,intel core i7,https://www.bestbuy.com/site/msi-creator-15-15-6-laptop-intel-core-i7-16-gb-memory-nvidia-geforce-rtx-3080-1-tb-ssd-black/6491558.p?skuId=6491558
msi,1024,16,16,1749.99,summit,intel core i7,https://www.bestbuy.com/site/msi-summit-e16-flip-16-touch-screen-2-in-1-laptop-intel-core-i7-16-gb-memory-nvidia-geforce-rtx-3050-1-tb-ssd-ink-black/6474949.p?skuId=6474949
microsoft,256,8,13.5,1147.99,surface book,intel core i5,https://www.bestbuy.com/site/microsoft-geek-squad-certified-refurbished-surface-book-2-13-5-touch-screen-laptop-intel-core-i5-8gb-memory-256gb-ssd-platinum/6410984.p?skuId=6410984
razer,1024,16,17.3,2599.99,blade 17,intel core i7,https://www.bestbuy.com/site/razer-blade-17-17-3-gaming-laptop-qhd-240hz-intel-core-i7-nvidia-geforce-rtx-3060-16gb-ram-1tb-ssd-black/6511850.p?skuId=6511850
asus,1024,16,15.6,1259.99,geek,intel core i7,https://www.bestbuy.com/site/asus-geek-squad-certified-refurbished-rog-15-6-laptop-intel-core-i7-16gb-memory-nvidia-geforce-rtx-2060-1tb-ssd-brushed-black/6460258.p?skuId=6460258
razer,1024,16,14,2799.99,blade 14,amd ryzen 9,https://www.bestbuy.com/site/razer-blade-14-14-gaming-laptop-qhd-165hz-amd-ryzen-9-6900hx-nvidia-geforce-rtx-3080ti-16gb-ram-1tb-ssd-black/6504373.p?skuId=6504373
microsoft,512,32,15,2267.99,surface book,intel core i7,https://www.bestbuy.com/site/microsoft-geek-squad-certified-refurbished-surface-book-3-15-touch-screen-intel-core-i7-32gb-memory-512gb-ssd-platinum/6463548.p?skuId=6463548
msi,1024,16,16,1699.99,summit,intel core i7,https://www.bestbuy.com/site/msi-summit-e16-flip-a12u-16-touch-screen-2-in-1-laptop-intel-core-i7-16-gb-memory-nvidia-geforce-rtx-3050-ti-1-tb-ink-black/6501198.p?skuId=6501198
asus,512,8,14,875.99,expertbook,intel core i5,https://www.bestbuy.com/site/asus-expertbook-b1-b1400-14-laptop-intel-core-i5-8-gb-memory-512-gb-ssd-star-black/6499370.p?skuId=6499370
asus,512,16,13.3,1210.99,expertbook,intel core i7,https://www.bestbuy.com/site/asus-expertbook-b5-13-3-laptop-intel-core-i7-16-gb-memory-512-gb-ssd-star-black/6494576.p?skuId=6494576
msi,512,16,16,1249.99,summit,intel core i5,https://www.bestbuy.com/site/msi-summit-e16-flip-16-laptop-intel-core-i5-16-gb-memory-512-gb-ssd-ink-black/6474950.p?skuId=6474950
dell,256,8,15.6,597.99,inspiron,intel core i5,https://www.bestbuy.com/site/dell-inspiron-2-in-1-15-6-geek-squad-certified-refurbished-touch-screen-laptop-intel-core-i5-8gb-memory-256gb-ssd-silver/6393768.p?skuId=6393768
microsoft,256,8,13.5,994.99,surface laptop 3,intel core i5,https://www.bestbuy.com/site/microsoft-geek-squad-certified-refurbished-surface-laptop-3-13-5-touch-screen-intel-core-i5-8gb-memory-256gb-ssd-matte-black/6463420.p?skuId=6463420
msi,512,16,13.4,1391.99,summit,intel core i5,https://www.bestbuy.com/site/msi-summit-e13-flip-evo-13-4-laptop-intel-core-i5-16-gb-memory-512-gb-ssd-ink-black/6469414.p?skuId=6469414
msi,1024,32,17.3,3799.99,17.3,intel core i9,https://www.bestbuy.com/site/msi-17-3-gaming-laptop-intel-core-i9-32gb-memory-nvidia-quadro-rtx-a5000-1tb-ssd-titanium-blue/6469408.p?skuId=6469408
microsoft,512,16,15,1619.99,surface laptop 4,intel core i7,https://www.bestbuy.com/site/microsoft-geek-squad-certified-refurbished-surface-laptop-4-15-touch-screen-laptop-intel-core-i7-16gb-memory-512gb-ssd-matte-black/6463628.p?skuId=6463628
msi,1024,16,17.3,2749.99,raider,intel core i7,https://www.bestbuy.com/site/msi-raider-17-3-gaming-laptop-intel-core-i7-16gb-memory-1tb-ssd-dark-grey/6522205.p?skuId=6522205
asus,256,8,15.6,836.99,expertbook,intel core i5,https://www.bestbuy.com/site/asus-expertbook-b1-b1500-15-6-laptop-intel-core-i5-8-gb-memory-256-gb-ssd-star-black/6510088.p?skuId=6510088
asus,512,16,13.3,1052.99,expertbook,intel core i5,https://www.bestbuy.com/site/asus-expertbook-b5-b5302-13-3-laptop-intel-core-i5-16-gb-memory-512-gb-ssd-star-black/6480119.p?skuId=6480119
microsoft,128,8,13.5,879.99,surface book,intel core i5,https://www.bestbuy.com/site/microsoft-geek-squad-certified-refurbished-surface-book-2-13-5-touch-screen-laptop-intel-core-i5-8gb-memory-128gb-ssd-platinum/6410930.p?skuId=6410930
microsoft,512,8,13.5,900.99,surface laptop 4,intel core i5,https://www.bestbuy.com/site/microsoft-geek-squad-certified-refurbished-surface-laptop-4-13-5-touch-screen-intel-core-i5-8gb-memory-512gb-ssd-platinum/6463627.p?skuId=6463627
microsoft,128,8,13.5,764.99,surface laptop 3,intel core i5,https://www.bestbuy.com/site/microsoft-geek-squad-certified-refurbished-surface-laptop-3-13-5-touch-screen-laptop-intel-core-i5-8gb-memory-128gb-ssd-platinum/6460065.p?skuId=6460065
asus,128,4,14,382.99,geek,intel core m3,https://www.bestbuy.com/site/asus-geek-squad-certified-refurbished-imaginebook-14-laptop-intel-core-m3-4gb-memory-128gb-solid-state-drive-textured-white/6422425.p?skuId=6422425
msi,512,16,16,2299.99,creator,intel core i7,https://www.bestbuy.com/site/msi-creator-z16-16-touch-screen-laptop-intel-core-i7-16-gb-memory-nvidia-geforce-rtx-3060-512-gb-ssd-lunar-gray/6501190.p?skuId=6501190
msi,512,16,14,1066.99,prestige,intel core i5,https://www.bestbuy.com/site/msi-prestige-14-evo-14-laptop-intel-core-i5-16-gb-memory-512-gb-ssd-blue-stone/6501185.p?skuId=6501185
asus,1024,16,13.3,1599.99,expertbook,intel core i7,https://www.bestbuy.com/site/asus-expertbook-b5-flip-b5302-13-3-laptop-intel-core-i7-16-gb-memory-1-tb-ssd-star-black/6480116.p?skuId=6480116
msi,512,16,13.4,1249.99,summit,intel core i5,https://www.bestbuy.com/site/msi-summit-e13-flip-evo-13-4-laptop-intel-core-i5-16-gb-memory-512-gb-ssd-ink-black/6501329.p?skuId=6501329
msi,512,16,14,1099.99,summit,intel core i5,https://www.bestbuy.com/site/msi-summit-e14-evo-14-laptop-intel-core-i5-16-gb-memory-512-gb-ssd-ink-black/6502628.p?skuId=6502628
apple,256,8,13.3,1133.99,macbook air,intel core i5,https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-macbook-air-13-3-retina-display-intel-core-i5-8gb-memory-256gb-flash-storage-gold/6448363.p?skuId=6448363
microsoft,256,8,15,1147.99,surface laptop 3,amd ryzen 5,https://www.bestbuy.com/site/microsoft-geek-squad-certified-refurbished-surface-laptop-3-15-touch-screen-laptop-amd-ryzen-5-8gb-memory-256gb-ssd-platinum/6463321.p?skuId=6463321
microsoft,256,8,13.5,994.99,surface laptop 3,intel core i5,https://www.bestbuy.com/site/microsoft-geek-squad-certified-refurbished-surface-laptop-3-13-5-touch-screen-laptop-intel-core-i5-8gb-memory-256gb-ssd-sandstone/6460066.p?skuId=6460066
microsoft,512,16,13.5,1912.99,surface book,intel core i7,https://www.bestbuy.com/site/microsoft-geek-squad-certified-refurbished-surface-book-2-13-5-touch-screen-laptop-intel-core-i7-16gb-memory-512gb-ssd-silver/6410927.p?skuId=6410927
microsoft,512,16,15,1349.99,surface laptop 4,intel core i7,https://www.bestbuy.com/site/microsoft-geek-squad-certified-refurbished-surface-laptop-4-15-touch-screen-laptop-intel-core-i7-16gb-memory-512gb-ssd-platinum/6463626.p?skuId=6463626
razer,512,16,13.3,1399.99,blade stealth,intel core i7,https://www.bestbuy.com/site/razer-geek-squad-certified-refurbished-blade-stealth-13-3-laptop-intel-core-i7-16gb-memory-gtx-1650-ti-max-q-512gb-ssd-black/6448266.p?skuId=6448266
apple,256,8,13.3,1538.99,macbook pro,intel core i5,https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-macbook-pro-13-3-retina-display-intel-core-i5-8gb-memory-256gb-ssd-space-gray/6430508.p?skuId=6430508
microsoft,512,16,15,1889.99,surface laptop 3,amd ryzen 7,https://www.bestbuy.com/site/microsoft-geek-squad-certified-refurbished-surface-laptop-3-15-touch-screen-amd-ryzen-7-16gb-memory-512gb-ssd-platinum/6463413.p?skuId=6463413
msi,512,16,13.4,1391.99,summit,intel core i5,https://www.bestbuy.com/site/msi-summit-e13-flip-evo-13-4-laptop-intel-core-i5-16-gb-memory-512-gb-ssd-ink-black/6486888.p?skuId=6486888
hp,32,4,11.6,297.99,chromebook 11,intel celeron,https://www.bestbuy.com/site/hp-chromebook-11-g9-ee-11-6-chromebook-intel-celeron-4-gb-memory-32-gb-emmc-black/6495100.p?skuId=6495100
microsoft,256,16,15,1300.99,surface laptop 3,amd ryzen 5,https://www.bestbuy.com/site/microsoft-geek-squad-certified-refurbished-surface-laptop-3-15-touch-screen-amd-ryzen-5-16gb-memory-256gb-ssd-matte-black/6463291.p?skuId=6463291
apple,256,8,13,1214.99,macbook pro®,intel core i5,https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-macbook-pro-13-display-intel-core-i5-8-gb-memory-256gb-flash-storage-space-gray/6469035.p?skuId=6469035
microsoft,256,16,13.5,1439.99,surface book,intel core i7,https://www.bestbuy.com/site/microsoft-geek-squad-certified-refurbished-surface-book-3-13-5-touch-screen-laptop-intel-core-i7-16gb-256gb-ssd-sandstone/6463422.p?skuId=6463422
